CMD,PID,TIME
/usr/lib/opera/opera,23360,00:01:11
/usr/lib/opera/opera,23382,00:00:00
/usr/lib/opera/opera,23384,00:00:00
/usr/lib/opera/opera,23411,00:00:06
/usr/lib/opera/opera,23686,00:00:01
/usr/lib/opera/opera,23853,00:00:19
/usr/lib/opera/opera,23955,00:00:25
/usr/lib/opera/opera,24179,00:00:09
/usr/lib/opera/opera,24244,00:02:35
/usr/lib/opera/opera,24268,00:00:00
/usr/lib/opera/opera,24278,00:00:00
/usr/lib/opera/opera,24288,00:00:07
/usr/lib/opera/opera,24298,00:00:01
/usr/lib/opera/opera,24445,00:00:16
/usr/lib/opera/opera,24524,00:00:00
/usr/lib/opera/opera,24547,00:00:00
[irq/44-mei_me],24756,00:00:00
/usr/lib/deepin-daemon/dde-osd,25001,00:00:02
/var/lib/snapd/snap/code/20/usr/share/code/code,25692,00:01:39
/var/lib/snapd/snap/code/20/usr/share/code/code,25694,00:00:00
/var/lib/snapd/snap/code/20/usr/share/code/code,25730,00:06:20
/var/lib/snapd/snap/code/20/usr/share/code/code,25781,00:00:08
/usr/lib/opera/opera,26899,00:01:33
/usr/lib/opera/opera,26914,00:01:46
/usr/lib/opera/opera,26928,00:00:01
/usr/lib/opera/opera,26939,00:00:09
/usr/lib/opera/opera,26962,00:00:33
/usr/lib/opera/opera,26972,00:00:01
/usr/lib/opera/opera,27073,00:00:00
/usr/lib/opera/opera,27970,00:00:01
/usr/lib/opera/opera,27980,00:02:26
/usr/lib/opera/opera,27993,00:00:28
/usr/lib/opera/opera,28003,00:00:00
/usr/lib/opera/opera,28331,00:00:06
deepin-terminal,31131,00:00:04
/bin/bash,31142,00:00:00
[kworker/u16:3-phy0],31730,00:00:04
[kworker/1:0-events],32578,00:00:02
